Item Name,Item Variation,SKU,Category,Items Sold,Gross Sales,Items Refunded,Refunds,Discounts & Comps,Net Sales,Tax
Latte 12oz,Regular Price,"",Uncategorized,2894,"$8,132.14",-7,$-19.67,$-55.14,"$8,057.33",$544.56
Latte 16oz,Regular Price,"",Uncategorized,3808,"$13,366.08",-9,$-31.59,$-29.42,"$13,305.07",$905.39
Latte 20oz,Regular Price,"",Uncategorized,1801,"$6,753.75",-2,$-7.50,$-4.49,"$6,741.76",$456.23
Life Magnets,Regular Price,"",Uncategorized,12,$54.00,0,$0.00,$0.00,$54.00,$3.63
London Fog 12oz.,Regular Price,"",Uncategorized,267,$838.38,0,$0.00,$-3.76,$834.62,$55.89
London Fog 16oz.,Regular Price,"",Uncategorized,261,"$1,002.24",0,$0.00,$-3.45,$998.79,$67.36
Macchiato,Regular Price,"",Uncategorized,212,$517.28,0,$0.00,$-1.46,$515.82,$34.76
Magnets,Regular Price,"",Uncategorized,12,$54.00,0,$0.00,$-1.35,$52.65,$3.53
Milk Single Serve,Regular Price,"",Uncategorized,238,$445.06,0,$0.00,$-0.56,$444.50,$30.57
Mocha Large,Regular Price,"",Uncategorized,712,"$2,833.76",0,$0.00,$0.00,"$2,833.76",$192.17
Mocha Medium ,Regular Price,"",Uncategorized,1706,"$6,397.50",-3,$-11.25,$-6.00,"$6,380.25",$428.37
Mocha Small,Regular Price,"",Uncategorized,831,"$2,916.81",0,$0.00,$-1.05,"$2,915.76",$198.21
Pour Over,Regular Price,"",Uncategorized,299,$630.89,0,$0.00,$-0.63,$630.26,$42.05
Queen Anne's Lace (12oz),Regular Price,"",Uncategorized,492,"$1,726.92",0,$0.00,$-9.46,"$1,717.46",$116.94
Queen Anne's Lace (16oz),Regular Price,"",Uncategorized,878,"$3,292.50",-2,$-7.50,$-4.52,"$3,280.48",$219.79
Queen Anne's Lace (20oz),Regular Price,"",Uncategorized,266,"$1,058.68",-2,$-7.96,$-2.40,"$1,048.32",$71.08
Red Frappe,Regular Price,"",Uncategorized,1,$3.98,0,$0.00,$0.00,$3.98,$0.27
San Pellegrino,Regular Price,"",Uncategorized,64,$144.00,0,$0.00,$-1.36,$142.64,$9.54
Smoothie (16oz.),Regular Price,"",Uncategorized,1873,"$7,454.54",-2,$-7.96,$-20.29,"$7,426.29",$503.48
Special One,Regular Price,"",Uncategorized,1421,"$3,993.01",-2,$-5.62,$-3.36,"$3,984.03",$269.38
T-shirts,Regular Price,"",Uncategorized,80,"$1,039.20",0,$0.00,$-7.80,"$1,031.40",$69.73
Water Bottle,Regular Price,"",Uncategorized,71,$88.75,-1,$-1.25,$-0.38,$87.12,$5.90
Wild Cat Red Eye (12oz),Regular Price,"",Uncategorized,187,$394.57,-1,$-2.11,$-0.21,$392.25,$26.09
Wild Cat Red Eye (16oz),Regular Price,"",Uncategorized,440,"$1,029.60",0,$0.00,$0.00,"$1,029.60",$70.37
Wild Cat Red Eye (20oz),Regular Price,"",Uncategorized,426,"$1,099.08",0,$0.00,$0.00,"$1,099.08",$73.15
Yosefa Tea Oz.,Regular Price,"",Uncategorized,2,$12.00,0,$0.00,$0.00,$12.00,$0.81
