Item Name,Item Variation,SKU,Category,Items Sold,Gross Sales,Items Refunded,Refunds,Discounts & Comps,Net Sales,Tax
Custom Amount,No description,"",Uncategorized,2002,"$22,194.48",-33,"$-1,385.44",$-28.26,"$20,780.78",$483.56
16.9 Oz San Pellegrino,Regular Price,"",Uncategorized,169,$507.00,-3,$-9.00,$-7.20,$490.80,$27.65
2 Doughnut Holes,Regular Price,"",Uncategorized,2594,$648.50,-14,$-3.50,$0.00,$645.00,$34.74
8.5 Oz San Pellegrino ,Regular Price,"",Uncategorized,11,$23.21,0,$0.00,$0.00,$23.21,$1.54
Add Espresso Shot,Regular Price,"",Uncategorized,7887,"$4,416.72",-28,$-15.68,$-29.71,"$4,371.33",$309.20
Add Soy,Regular Price,"",Uncategorized,633,$354.48,-2,$-1.12,$-4.94,$348.42,$24.70
Add Soy/Almond/Breve,Regular Price,"",Uncategorized,3992,"$2,235.52",-17,$-9.52,$-12.86,"$2,213.14",$157.16
Americano (double),Regular Price,"",Uncategorized,5310,"$11,204.10",-12,$-25.32,$-39.72,"$11,139.06",$742.00
Apple Cider,Regular Price,"",Uncategorized,42,$78.54,0,$0.00,$-1.68,$76.86,$0.13
Apple Cider 16 Oz,Regular Price,"",Uncategorized,1,$2.11,0,$0.00,$0.00,$2.11,$0.14
Bee Balm (12oz),Regular Price,"",Uncategorized,770,"$2,702.70",-4,$-14.04,$0.00,"$2,688.66",$182.26
Bee Balm (16oz),Regular Price,"",Uncategorized,1314,"$4,927.50",-5,$-18.75,$-14.99,"$4,893.76",$327.53
Bee Balm (20oz),Regular Price,"",Uncategorized,577,"$2,296.46",-2,$-7.96,$0.00,"$2,288.50",$155.19
Beer Fancy,Regular Price,"",Uncategorized,15,$75.00,-1,$-5.00,$0.00,$70.00,$4.75
Beer Sale,Regular Price,"",Uncategorized,38,$114.00,-1,$-3.00,$0.00,$111.00,$7.41
Beer Standard,Regular Price,"",Uncategorized,200,$800.00,-1,$-4.00,$0.00,$796.00,$53.73
Boone Community,Regular Price,"",Uncategorized,4,$16.00,0,$0.00,$0.00,$16.00,$0.00
Breve Large,Regular Price,"",Uncategorized,17,$72.25,0,$0.00,$0.00,$72.25,$4.91
Breve Medium,Regular Price,"",Uncategorized,40,$140.40,0,$0.00,$0.00,$140.40,$9.54
Breve Small,Regular Price,"",Uncategorized,31,$94.24,0,$0.00,$0.00,$94.24,$6.45
Cafe Au Lait (12oz),Regular Price,"",Uncategorized,183,$428.22,0,$0.00,$0.00,$428.22,$29.24
Cafe Au Lait (16oz),Regular Price,"",Uncategorized,261,$673.38,-1,$-2.58,$0.00,$670.80,$44.98
Cafe Au Lait (20oz),Regular Price,"",Uncategorized,63,$177.03,-2,$-5.62,$0.00,$171.41,$11.59
Cappuccino Traditional,Regular Price,"",Uncategorized,392,"$1,101.52",-3,$-8.43,$-2.53,"$1,090.56",$73.70
Chai Latte (Large),Regular Price,"",Uncategorized,664,"$2,330.64",-3,$-10.53,$-5.25,"$2,314.86",$156.54
Chai Latte (Medium),Regular Price,"",Uncategorized,2374,"$7,786.72",-6,$-19.68,$-79.55,"$7,687.49",$515.87
Chai Latte (Small),Regular Price,"",Uncategorized,1384,"$4,207.36",-6,$-18.24,$-10.92,"$4,178.20",$283.27
Cheap Beer,Regular Price,"",Uncategorized,2,$4.00,0,$0.00,$0.00,$4.00,$0.27
