Item Name,Item Variation,SKU,Category,Items Sold,Gross Sales,Items Refunded,Refunds,Discounts & Comps,Net Sales,Tax
Coffee lb,Regular Price,"",Uncategorized,4611,"$50,721.00",-62,$-682.00,$-17.60,"$50,021.40","$3,369.55"
Cortado,Regular Price,"",Uncategorized,974,"$2,376.56",-5,$-12.20,$-18.27,"$2,346.09",$158.06
Cubano,Regular Price,"",Uncategorized,46,$97.06,0,$0.00,$0.00,$97.06,$6.48
D- (Dozen),Regular Price,"",Uncategorized,1664,"$24,544.00",-40,$-590.00,$-144.54,"$23,809.46","$1,605.45"
D- Cake,Regular Price,"",Uncategorized,4264,"$4,008.16",-18,$-16.92,$-14.59,"$3,976.65",$263.55
D- Cake Dozen,Regular Price,"",Uncategorized,81,$809.19,0,$0.00,$-4.00,$805.19,$54.25
D- Filled Specialty,Regular Price,"",Uncategorized,1665,"$4,295.70",-12,$-30.96,$-7.96,"$4,256.78",$286.92
D- Holes Cup,Regular Price,"",Uncategorized,1875,"$4,218.75",-11,$-24.75,$-6.32,"$4,187.68",$280.13
D-Yeast Glazed,Regular Price,"",Uncategorized,41633,"$68,278.12",-200,$-328.00,$-104.55,"$67,845.57","$4,555.15"
Doughnut,Regular Price,"",Uncategorized,1,$1.64,0,$0.00,$0.00,$1.64,$0.00
Doughnut Yeast,Regular Price,"",Uncategorized,5881,"$9,644.84",-43,$-70.52,$-14.23,"$9,560.09",$639.16
Draft Beer,Regular Price,"",Uncategorized,263,"$1,052.00",0,$0.00,$-2.40,"$1,049.60",$70.84
Drip (12oz.),Regular Price,"",Uncategorized,14768,"$24,219.52",-44,$-72.16,$-21.91,"$24,125.45","$1,618.65"
Drip (16oz.),Regular Price,"",Uncategorized,15972,"$29,867.64",-42,$-78.54,$-20.93,"$29,768.17","$2,046.82"
Drip (20oz),Regular Price,"",Uncategorized,7246,"$15,289.06",-21,$-44.31,$-9.47,"$15,235.28","$1,014.64"
Drip Refill,Regular Price,"",Uncategorized,1312,$616.64,-11,$-5.17,$-0.14,$611.33,$39.25
Espresso Double,Regular Price,"",Uncategorized,1206,"$2,255.22",-6,$-11.22,$-11.76,"$2,232.24",$153.10
Flavor,Regular Price,"",Uncategorized,13682,"$4,515.06",-53,$-17.49,$-5.92,"$4,491.65",$273.81
Frappe (16oz.),Regular Price,"",Uncategorized,287,"$1,142.26",-2,$-7.96,$0.00,"$1,134.30",$76.93
Fresh Red,Regular Price,"",Uncategorized,408,"$1,530.00",-4,$-15.00,$-13.85,"$1,501.15",$100.65
Group Coffee ,Regular Price,"",Uncategorized,64,$825.60,0,$0.00,$-23.22,$802.38,$50.63
Half Dozen (yeast),Regular Price,"",Uncategorized,1821,"$14,932.20",-17,$-139.40,$-44.28,"$14,748.52",$992.63
Hazel Truffle (12oz),Regular Price,"",Uncategorized,886,"$3,109.86",-8,$-28.08,$-12.60,"$3,069.18",$208.95
Hazel Truffle (16oz),Regular Price,"",Uncategorized,1534,"$5,752.50",-7,$-26.25,$-22.50,"$5,703.75",$382.02
Hazel Truffle (20oz),Regular Price,"",Uncategorized,691,"$2,750.18",-4,$-15.92,$-19.07,"$2,715.19",$184.17
Hot Chocolate,Regular Price,"",Uncategorized,958,"$2,241.72",-7,$-16.38,$-3.03,"$2,222.31",$151.48
Hot Chocolate (8oz),Regular Price,"",Uncategorized,4,$7.00,-1,$-1.75,$0.00,$5.25,$0.00
Hot Chocolate 12oz,Regular Price,"",Uncategorized,77,$180.18,0,$0.00,$0.00,$180.18,$12.28
Hot Chocolate 16oz,Regular Price,"",Uncategorized,355,"$1,029.50",-2,$-5.80,$-0.87,"$1,022.83",$69.73
Hot Chocolate 20oz,Regular Price,"",Uncategorized,69,$251.85,0,$0.00,$0.00,$251.85,$17.15
Hot/Tea ,Regular Price,"",Uncategorized,1925,"$3,599.75",-3,$-5.61,$-19.60,"$3,574.54",$246.73
Juice (large),Regular Price,"",Uncategorized,53,$99.11,0,$0.00,$-0.56,$98.55,$6.79
Latte 12oz,Regular Price,"",Uncategorized,5698,"$16,011.38",-14,$-39.34,$-45.11,"$15,926.93","$1,077.23"
Latte 16oz,Regular Price,"",Uncategorized,8789,"$30,849.39",-45,$-157.95,$-55.70,"$30,635.74","$2,084.50"
Latte 20oz,Regular Price,"",Uncategorized,2826,"$10,597.50",-15,$-56.25,$-4.86,"$10,536.39",$713.93
Local Lotus,Regular Price,"",Uncategorized,322,$754.83,-2,$-4.50,$-2.04,$748.29,$4.66
Macchiato,Regular Price,"",Uncategorized,330,$805.20,-2,$-4.88,$-0.73,$799.59,$54.10
Milk Single Serve,Regular Price,"",Uncategorized,200,$374.00,-2,$-3.74,$-1.68,$368.58,$25.33
Mocha Large,Regular Price,"",Uncategorized,1218,"$4,847.64",-5,$-19.90,$-4.78,"$4,822.96",$326.82
Mocha Medium ,Regular Price,"",Uncategorized,2930,"$10,987.50",-21,$-78.75,$-19.12,"$10,889.63",$731.15
Mocha Small,Regular Price,"",Uncategorized,1380,"$4,843.80",-4,$-14.04,$-15.76,"$4,814.00",$327.16
Mug Travel,Regular Price,"",Uncategorized,32,$767.68,0,$0.00,$0.00,$767.68,$0.00
Mugs Pottery,Regular Price,"",Uncategorized,2,$44.00,0,$0.00,$0.00,$44.00,$0.00
Nitro 12 Oz,Regular Price,"",Uncategorized,1,$2.50,0,$0.00,$0.00,$2.50,$0.17
Oatmeal,Regular Price,"",Uncategorized,68,$238.00,0,$0.00,$0.00,$238.00,$0.00
Pottery Mugs,Regular Price,"",Uncategorized,2,$44.00,0,$0.00,$0.00,$44.00,$0.00
Pour Over,Regular Price,"",Uncategorized,323,$681.53,-1,$-2.11,$-1.26,$678.16,$45.21
Queen Anne's Lace (12oz),Regular Price,"",Uncategorized,960,"$3,369.60",-7,$-24.57,$-2.10,"$3,342.93",$227.23
Queen Anne's Lace (16oz),Regular Price,"",Uncategorized,1945,"$7,293.75",-2,$-7.50,$-5.63,"$7,280.62",$487.79
Queen Anne's Lace (20oz),Regular Price,"",Uncategorized,554,"$2,204.92",-7,$-27.86,$-2.38,"$2,174.68",$147.48
San Pell Orange,Regular Price,"",Uncategorized,74,$138.38,-1,$-1.87,$-2.80,$133.71,$9.21
Smoothie (16oz.),Regular Price,"",Uncategorized,328,"$1,305.44",0,$0.00,$-1.20,"$1,304.24",$88.43
Special One,Regular Price,"",Uncategorized,1107,"$3,110.67",-3,$-8.43,$-0.84,"$3,101.40",$209.70
T-shirts,Regular Price,"",Uncategorized,141,"$1,831.59",-8,$-103.92,$-3.90,"$1,723.77",$116.53
Travel Mug,Regular Price,"",Uncategorized,36,$863.64,-1,$-23.99,$-21.59,$818.06,$0.00
Water Bottle,Regular Price,"",Uncategorized,161,$201.25,-1,$-1.25,$-0.38,$199.62,$13.49
Wild Cat Red Eye (12oz),Regular Price,"",Uncategorized,48,$101.28,0,$0.00,$0.00,$101.28,$6.76
Wild Cat Red Eye (16oz),Regular Price,"",Uncategorized,93,$217.62,-1,$-2.34,$0.00,$215.28,$14.72
Wild Cat Red Eye (20oz),Regular Price,"",Uncategorized,81,$208.98,0,$0.00,$0.00,$208.98,$13.88
Lotus/Biscuit,Regular Price,"",Food,2916,"$6,152.76",-18,$-37.98,$-29.69,"$6,085.09",$405.88
Salad/sandwich ,Regular Price,"",Food,96,$667.20,0,$0.00,$-2.77,$664.43,$44.94
Smoothie (16oz.),Regular Price,"",Food,3864,"$15,378.72",-22,$-87.56,$-32.20,"$15,258.96","$1,034.74"
Truffle,Regular Price,"",Food,37,$55.50,0,$0.00,$-0.90,$54.60,$3.64
