Item Name,Item Variation,SKU,Category,Items Sold,Gross Sales,Items Refunded,Refunds,Discounts & Comps,Net Sales,Tax
Custom Amount,No description,"",Uncategorized,1125,"$18,732.53",-5,$-437.99,$-35.40,"$18,259.14",$273.46
16.9 Oz San Pellegrino,Regular Price,"",Uncategorized,239,$717.00,-1,$-3.00,$-9.00,$705.00,$46.90
2 Doughnut Holes,Regular Price,"",Uncategorized,1939,$484.75,-3,$-0.75,$0.00,$484.00,$34.38
Add Espresso Shot,Regular Price,"",Uncategorized,9232,"$5,169.92",-6,$-3.36,$-12.22,"$5,154.34",$362.64
Add Soy/Almond,Regular Price,"",Uncategorized,6822,"$3,820.32",-8,$-4.48,$-3.74,"$3,812.10",$271.17
Addict's Cake Slice,Regular,"",Uncategorized,9,$36.00,0,$0.00,$-1.20,$34.80,$2.35
Americano (double),Regular Price,"",Uncategorized,6424,"$13,554.64",-6,$-12.66,$-16.65,"$13,525.33",$900.88
Apple Cider,Regular Price,"",Uncategorized,44,$87.56,0,$0.00,$-0.60,$86.96,$5.86
Beer Fancy,Regular Price,"",Uncategorized,19,$95.00,0,$0.00,$-1.50,$93.50,$6.34
Beer Standard,Regular Price,"",Uncategorized,316,"$1,264.00",0,$0.00,$-12.00,"$1,252.00",$84.51
Boone Community,Regular Price,"",Uncategorized,8,$32.00,0,$0.00,$0.00,$32.00,$0.00
Breve (12oz),Regular Price,"",Uncategorized,271,"$1,016.25",0,$0.00,$-2.26,"$1,013.99",$68.04
Breve (16oz),Regular Price,"",Uncategorized,225,$895.50,0,$0.00,$-1.20,$894.30,$60.65
Breve (20oz),Regular Price,"",Uncategorized,140,$590.80,0,$0.00,$0.00,$590.80,$39.83
Cafe Au Lait (12oz),Regular Price,"",Uncategorized,118,$276.12,0,$0.00,$0.00,$276.12,$18.85
Cafe Au Lait (16oz),Regular Price,"",Uncategorized,186,$479.88,0,$0.00,$0.00,$479.88,$32.13
Cafe Au Lait (20oz),Regular Price,"",Uncategorized,121,$340.01,0,$0.00,$0.00,$340.01,$23.00
Cappuccino Traditional,Regular Price,"",Uncategorized,1962,"$5,572.08",-5,$-14.20,$-11.91,"$5,545.97",$372.03
Chai Latte (Large),Regular Price,"",Uncategorized,918,"$3,222.18",0,$0.00,$0.00,"$3,222.18",$218.58
Chai Latte (Medium),Regular Price,"",Uncategorized,2624,"$8,606.72",-1,$-3.28,$-20.62,"$8,582.82",$576.10
Chai Latte (Small),Regular Price,"",Uncategorized,1556,"$4,730.24",0,$0.00,$-16.38,"$4,713.86",$319.08
Coffee lb,Regular Price,"",Uncategorized,5064,"$55,704.00",-27,$-297.00,$-139.70,"$55,267.30","$3,721.90"
Cold Brew 16oz,Regular Price,"",Uncategorized,34,$119.34,0,$0.00,$0.00,$119.34,$8.09
Cold Brewwww,Regular,"",Uncategorized,2246,"$7,883.46",-1,$-3.51,$-24.53,"$7,855.42",$534.62
Cortado,Regular Price,"",Uncategorized,718,"$2,039.12",0,$0.00,$-20.41,"$2,018.71",$135.36
Cubano,Regular Price,"",Uncategorized,36,$75.96,0,$0.00,$-0.63,$75.33,$5.04
D- (Dozen),Regular Price,"",Uncategorized,1844,"$27,199.00",-12,$-177.00,$-39.82,"$26,982.18","$1,812.43"
D- Cake,Regular Price,"",Uncategorized,3789,"$3,561.66",-3,$-2.82,$-1.68,"$3,557.16",$235.75
D- Cake Dozen,Regular Price,"",Uncategorized,15,$149.85,0,$0.00,$0.00,$149.85,$8.08
D- Filled Specialty,Regular Price,"",Uncategorized,2510,"$5,873.40",-9,$-21.06,$-4.90,"$5,847.44",$398.89
D- Holes Cup,Regular Price,"",Uncategorized,2600,"$5,850.00",-3,$-6.75,$-2.26,"$5,840.99",$390.02
Doughnut Yeast,Regular Price,"",Uncategorized,49018,"$80,389.52",-44,$-72.16,$-75.97,"$80,241.39","$5,390.01"
Draft Beer,Regular Price,"",Uncategorized,244,$976.00,0,$0.00,$-13.20,$962.80,$65.02
Drip (12oz.),Regular Price,"",Uncategorized,12480,"$20,467.20",-9,$-14.76,$-27.95,"$20,424.49","$1,370.40"
Drip (16oz.),Regular Price,"",Uncategorized,12498,"$23,371.26",-8,$-14.96,$-15.68,"$23,340.62","$1,605.45"
Drip (20oz),Regular Price,"",Uncategorized,5664,"$11,951.04",-5,$-10.55,$-3.78,"$11,936.71",$794.91
Drip Refill,Regular Price,"",Uncategorized,817,$383.99,0,$0.00,$-0.28,$383.71,$24.52
Espresso Double,Regular Price,"",Uncategorized,1335,"$2,496.45",-1,$-1.87,$-21.28,"$2,473.30",$168.47
Flavor,Regular Price,"",Uncategorized,20590,"$6,794.70",-9,$-2.97,$-7.13,"$6,784.60",$412.80
Frappe (16oz.),Regular Price,"",Uncategorized,153,$608.94,0,$0.00,$0.00,$608.94,$41.28
Fresh Red,Regular Price,"",Uncategorized,116,$435.00,0,$0.00,$-4.49,$430.51,$28.86
Group Coffee ,Regular Price,"",Uncategorized,128,"$1,651.20",0,$0.00,$0.00,"$1,651.20",$107.89
