Item Name,Item Variation,SKU,Category,Items Sold,Gross Sales,Items Refunded,Refunds,Discounts & Comps,Net Sales,Tax
Half Dozen (yeast),Regular Price,"",Uncategorized,2204,"$18,072.80",-8,$-65.60,$-31.98,"$17,975.22","$1,209.27"
Hazel Truffle (12oz),Regular Price,"",Uncategorized,1011,"$3,750.81",0,$0.00,$-6.68,"$3,744.13",$252.37
Hazel Truffle (16oz),Regular Price,"",Uncategorized,2196,"$8,652.24",-2,$-7.88,$-18.09,"$8,626.27",$587.35
Hazel Truffle (20oz),Regular Price,"",Uncategorized,940,"$3,929.20",-1,$-4.18,$-5.00,"$3,920.02",$263.03
Hoody,Regular,"",Uncategorized,4,$107.96,0,$0.00,$0.00,$107.96,$7.28
Hot Chocolate (12oz),Regular Price,"",Uncategorized,912,"$2,225.28",-3,$-7.32,$-3.66,"$2,214.30",$149.69
Hot Chocolate (16oz),Regular Price,"",Uncategorized,390,"$1,146.60",-5,$-14.70,$-1.76,"$1,130.14",$76.79
Hot Chocolate (20oz),Regular Price,"",Uncategorized,81,$273.78,0,$0.00,$0.00,$273.78,$18.62
Hot/Tea ,Regular Price,"",Uncategorized,1743,"$3,259.41",-1,$-1.87,$-7.84,"$3,249.70",$224.09
Juice (16oz),Regular Price,"",Uncategorized,42,$78.54,0,$0.00,$0.00,$78.54,$5.38
Latte 12oz,Regular Price,"",Uncategorized,6731,"$22,077.68",-3,$-9.84,$-65.16,"$22,002.68","$1,479.43"
Latte 16oz,Regular Price,"",Uncategorized,14588,"$51,203.88",-10,$-35.10,$-118.78,"$51,050.00","$3,476.57"
Latte 20oz,Regular Price,"",Uncategorized,4026,"$15,097.50",-6,$-22.50,$-13.47,"$15,061.53","$1,021.49"
London Fog (12oz),Regular Price,"",Uncategorized,304,"$1,097.44",0,$0.00,$-3.24,"$1,094.20",$73.21
London Fog (16oz),Regular Price,"",Uncategorized,434,"$1,666.56",-1,$-3.84,$-4.60,"$1,658.12",$112.25
London Fog (20oz),Regular Price,"",Uncategorized,126,$514.08,0,$0.00,$0.00,$514.08,$35.00
Macchiato,Regular Price,"",Uncategorized,183,$464.82,0,$0.00,$-0.76,$464.06,$31.08
Milk (16oz),Regular Price,"",Uncategorized,97,$181.39,0,$0.00,$0.00,$181.39,$12.45
Mo Qal Beeb LV (12oz),Regular Price,"",Uncategorized,2585,"$9,331.85",0,$0.00,$-15.15,"$9,316.70",$624.14
Mo Qal Beeb LV (16oz),Regular Price,"",Uncategorized,4899,"$18,812.16",-3,$-11.52,$-16.10,"$18,784.54","$1,271.24"
Mo Qal Beeb LV (20oz),Regular Price,"",Uncategorized,1633,"$6,662.64",-3,$-12.24,$0.00,"$6,650.40",$452.27
Muffin,Regular,"",Uncategorized,819,"$1,531.53",-1,$-1.87,$-8.96,"$1,520.70",$104.36
Mug Travel,Regular Price,"",Uncategorized,5,$119.95,-1,$-23.99,$0.00,$95.96,$0.00
Mugs Pottery,Regular Price,"",Uncategorized,22,$564.00,0,$0.00,$-13.20,$550.80,$35.15
Nitro 16oz,Regular Price,"",Uncategorized,86,$343.95,0,$0.00,$-2.40,$341.55,$23.06
Oatmeal,Regular Price,"",Uncategorized,242,$847.00,0,$0.00,$-13.65,$833.35,$0.00
Pour Over,Regular Price,"",Uncategorized,113,$282.50,0,$0.00,$0.00,$282.50,$19.21
RX Bar,Regular,"",Uncategorized,8,$24.00,0,$0.00,$0.00,$24.00,$1.61
San Pell Orange,Regular Price,"",Uncategorized,455,$850.85,-1,$-1.87,$-23.52,$825.46,$56.97
Special One,Regular Price,"",Uncategorized,637,"$1,789.97",-1,$-2.81,$0.00,"$1,787.16",$120.84
"T-Shirt, Long Sleeve",Regular,"",Uncategorized,2,$33.98,0,$0.00,$0.00,$33.98,$2.30
"T-shirt, Short sleeve",Regular Price,"",Uncategorized,111,"$1,441.89",-5,$-64.95,$-7.80,"$1,369.14",$92.61
Water Bottle,Regular Price,"",Uncategorized,506,$632.50,0,$0.00,$0.00,$632.50,$42.39
Woodfired,Regular,"",Uncategorized,3,$90.00,0,$0.00,$0.00,$90.00,$6.07
Lotus/Biscuit,Regular Price,"",Food,5203,"$10,978.33",-10,$-21.10,$-13.88,"$10,943.35",$731.32
Muffin,Regular,"",Food,8,$14.96,0,$0.00,$0.00,$14.96,$1.03
Salad/sandwich ,Regular Price,"",Food,23,$159.85,0,$0.00,$0.00,$159.85,$10.81
Smoothie (16oz.),Regular Price,"",Food,3823,"$15,215.54",-6,$-23.88,$-26.64,"$15,165.02","$1,028.34"
Truffle,Regular Price,"",Food,523,$784.50,0,$0.00,$-3.76,$780.74,$52.35
