Item Name,Item Variation,SKU,Category,Items Sold,Gross Sales,Items Refunded,Refunds,Discounts & Comps,Net Sales,Tax
Breve,Regular Price,"",Uncategorized,59,$238.42,-1,$-4.22,$0.00,$234.20,$15.88
Breve (12oz),Regular Price,"",Uncategorized,203,$761.25,-3,$-11.25,$0.00,$750.00,$50.38
Breve (16oz),Regular Price,"",Uncategorized,93,$370.14,-1,$-3.98,$0.00,$366.16,$24.83
Breve (20oz),Regular Price,"",Uncategorized,69,$291.18,-3,$-12.66,$0.00,$278.52,$18.78
Cafe Au Lait (12oz),Regular Price,"",Uncategorized,219,$512.46,-1,$-2.34,$-0.70,$509.42,$34.81
Cafe Au Lait (16oz),Regular Price,"",Uncategorized,281,$724.98,-4,$-10.32,$0.00,$714.66,$47.70
Cafe Au Lait (20oz),Regular Price,"",Uncategorized,117,$328.77,0,$0.00,$0.00,$328.77,$22.23
Cappuccino Traditional,Regular Price,"",Uncategorized,771,"$2,186.88",-14,$-39.76,$-3.18,"$2,143.94",$143.88
Chai Latte (Large),Regular Price,"",Uncategorized,1080,"$3,790.80",-2,$-7.02,$-2.11,"$3,781.67",$255.90
Chai Latte (Medium),Regular Price,"",Uncategorized,2536,"$8,318.08",-11,$-36.08,$-21.60,"$8,260.40",$554.40
Chai Latte (Small),Regular Price,"",Uncategorized,1556,"$4,730.24",-7,$-21.28,$-7.58,"$4,701.38",$318.68
Coffee lb,Regular Price,"",Uncategorized,5063,"$55,693.00",-99,"$-1,089.00",$-50.60,"$54,553.40","$3,675.09"
Cold Brew 16oz,Regular Price,"",Uncategorized,298,"$1,045.98",-3,$-10.53,$-17.87,"$1,017.58",$69.27
Cold Brewwww,Regular,"",Uncategorized,1421,"$4,987.71",-8,$-28.08,$-10.50,"$4,949.13",$336.66
Cortado,Regular Price,"",Uncategorized,1061,"$2,840.04",-5,$-13.40,$-18.60,"$2,808.04",$188.73
Craft Soda,Regular,"",Uncategorized,2,$5.20,0,$0.00,$0.00,$5.20,$0.35
Cubano,Regular Price,"",Uncategorized,26,$54.86,0,$0.00,$-1.89,$52.97,$3.53
D- (Dozen),Regular Price,"",Uncategorized,1854,"$27,346.50",-77,"$-1,135.75",$-67.83,"$26,142.92","$1,747.14"
D- Cake,Regular Price,"",Uncategorized,3921,"$3,685.74",-14,$-13.16,$-5.98,"$3,666.60",$242.80
D- Cake Dozen,Regular Price,"",Uncategorized,57,$569.43,-7,$-69.93,$0.00,$499.50,$33.67
D- Filled Specialty,Regular Price,"",Uncategorized,2347,"$5,628.78",-42,$-99.72,$-11.81,"$5,517.25",$374.82
D- Holes Cup,Regular Price,"",Uncategorized,2515,"$5,658.75",-17,$-38.25,$-4.75,"$5,615.75",$374.28
Doughnut Yeast,Regular Price,"",Uncategorized,51410,"$84,312.40",-297,$-487.08,$-93.54,"$83,731.78","$5,621.66"
Draft Beer,Regular Price,"",Uncategorized,156,$624.00,0,$0.00,$-3.60,$620.40,$41.61
Drip (12oz.),Regular Price,"",Uncategorized,13607,"$22,315.48",-31,$-50.84,$-18.15,"$22,246.49","$1,492.90"
Drip (16oz.),Regular Price,"",Uncategorized,13947,"$26,080.89",-43,$-80.41,$-15.49,"$25,984.99","$1,786.86"
Drip (20oz),Regular Price,"",Uncategorized,6589,"$13,902.79",-15,$-31.65,$-5.89,"$13,865.25",$922.84
Drip Refill,Regular Price,"",Uncategorized,883,$415.01,-14,$-6.58,$-0.14,$408.29,$26.19
Espresso Double,Regular Price,"",Uncategorized,1424,"$2,662.88",-8,$-14.96,$-6.72,"$2,641.20",$181.14
Flavor,Regular Price,"",Uncategorized,16764,"$5,532.12",-70,$-23.10,$-5.12,"$5,503.90",$335.35
Frappe (16oz.),Regular Price,"",Uncategorized,142,$565.16,-2,$-7.96,$0.00,$557.20,$37.77
Fresh Red,Regular Price,"",Uncategorized,216,$810.00,-1,$-3.75,$-3.37,$802.88,$53.84
Group Coffee ,Regular Price,"",Uncategorized,96,"$1,238.40",-2,$-25.80,$0.00,"$1,212.60",$73.13
Half Dozen (yeast),Regular Price,"",Uncategorized,2140,"$17,548.00",-33,$-270.60,$-23.78,"$17,253.62","$1,160.33"
Hazel Truffle (12oz),Regular Price,"",Uncategorized,1038,"$3,785.18",-9,$-32.99,$0.00,"$3,752.19",$253.68
Hazel Truffle (16oz),Regular Price,"",Uncategorized,2103,"$8,175.05",-9,$-35.08,$-3.42,"$8,136.55",$551.46
Hazel Truffle (20oz),Regular Price,"",Uncategorized,893,"$3,674.54",-3,$-12.14,$-3.22,"$3,659.18",$246.49
Hoody,Regular,"",Uncategorized,3,$80.97,0,$0.00,$0.00,$80.97,$5.46
Hot Chocolate,Regular Price,"",Uncategorized,525,"$1,244.90",-1,$-2.44,$-2.13,"$1,240.33",$84.40
Hot Chocolate (12oz),Regular Price,"",Uncategorized,430,"$1,049.20",-5,$-12.20,$-2.92,"$1,034.08",$69.89
Hot Chocolate (16oz),Regular Price,"",Uncategorized,188,$552.72,0,$0.00,$-0.88,$551.84,$37.53
Hot Chocolate (20oz),Regular Price,"",Uncategorized,40,$135.20,0,$0.00,$0.00,$135.20,$9.20
Hot Chocolate 16oz,Regular Price,"",Uncategorized,146,$424.72,-1,$-2.94,$-2.03,$419.75,$28.66
Hot Chocolate 20oz,Regular Price,"",Uncategorized,46,$164.66,0,$0.00,$0.00,$164.66,$11.20
Hot/Tea ,Regular Price,"",Uncategorized,1942,"$3,631.54",-4,$-7.48,$-12.88,"$3,611.18",$249.19
Juice (16oz),Regular Price,"",Uncategorized,16,$29.92,0,$0.00,$0.00,$29.92,$2.03
Juice (large),Regular Price,"",Uncategorized,46,$86.02,0,$0.00,$0.00,$86.02,$5.90
Latte 12oz,Regular Price,"",Uncategorized,6243,"$19,390.87",-37,$-115.72,$-50.49,"$19,224.66","$1,295.18"
Latte 16oz,Regular Price,"",Uncategorized,10911,"$38,297.61",-40,$-140.40,$-66.18,"$38,091.03","$2,591.89"
Latte 20oz,Regular Price,"",Uncategorized,2860,"$10,725.33",-23,$-86.25,$-4.77,"$10,634.31",$721.01
London Fog,Regular Price,"",Uncategorized,321,"$1,195.87",-3,$-11.06,$0.00,"$1,184.81",$79.92
London Fog (12oz),Regular Price,"",Uncategorized,206,$743.66,-1,$-3.61,$-4.33,$735.72,$49.25
London Fog (16oz),Regular Price,"",Uncategorized,266,"$1,021.44",-4,$-15.36,$-1.15,"$1,004.93",$68.00
London Fog (20oz),Regular Price,"",Uncategorized,61,$248.88,0,$0.00,$0.00,$248.88,$16.95
London Fog 20oz,Regular Price,"",Uncategorized,51,$208.08,0,$0.00,$0.00,$208.08,$14.15
Macchiato,Regular Price,"",Uncategorized,263,$660.42,-2,$-5.08,$-1.52,$653.82,$43.88
Milk (16oz),Regular Price,"",Uncategorized,80,$149.60,-1,$-1.87,$-0.56,$147.17,$10.15
Milk Single Serve,Regular Price,"",Uncategorized,133,$248.71,0,$0.00,$0.00,$248.71,$17.07
Mo Qal Beeb LV (12oz),Regular Price,"",Uncategorized,1532,"$5,530.52",-7,$-25.27,$-7.57,"$5,497.68",$368.77
Mo Qal Beeb LV (16oz),Regular Price,"",Uncategorized,2936,"$11,274.24",-14,$-53.76,$-9.20,"$11,211.28",$758.77
Mo Qal Beeb LV (20oz),Regular Price,"",Uncategorized,1096,"$4,471.68",-13,$-53.04,$-1.22,"$4,417.42",$300.53
Mo Qal Beeb LV 16,Regular Price,"",Uncategorized,2224,"$8,540.16",-15,$-57.60,$-10.35,"$8,472.21",$573.18
Mo Qal LaV Beeb ,Regular Price,"",Uncategorized,996,"$3,595.56",-20,$-72.20,$-3.24,"$3,520.12",$236.18
Mocha Large,Regular Price,"",Uncategorized,455,"$1,810.90",-2,$-7.96,$-2.38,"$1,800.56",$122.08
Mocha Medium ,Regular Price,"",Uncategorized,1087,"$4,076.25",-3,$-11.25,$-2.25,"$4,062.75",$272.52
Mocha Small,Regular Price,"",Uncategorized,542,"$1,902.42",-6,$-21.06,$-1.05,"$1,880.31",$128.00
Mug Travel,Regular Price,"",Uncategorized,25,$599.75,-1,$-23.99,$-14.40,$561.36,$0.00
Mugs Pottery,Regular Price,"",Uncategorized,2,$44.00,0,$0.00,$0.00,$44.00,$0.00
Nitro 12 Oz,Regular Price,"",Uncategorized,4,$10.00,0,$0.00,$0.00,$10.00,$0.68
Nitro 16oz,Regular Price,"",Uncategorized,90,$355.50,-2,$-7.90,$-4.73,$342.87,$23.34
Oatmeal,Regular Price,"",Uncategorized,237,$829.50,-5,$-17.50,$-2.10,$809.90,$0.00
Pour Over,Regular Price,"",Uncategorized,200,$467.24,0,$0.00,$-1.91,$465.33,$31.44
Qal Beeb LV Mo,Regular Price,"",Uncategorized,808,"$3,296.64",-6,$-24.48,$0.00,"$3,272.16",$222.54
Queen Anne's Lace (12oz),Regular Price,"",Uncategorized,399,"$1,400.49",-2,$-7.02,$0.00,"$1,393.47",$94.74
Queen Anne's Lace (16oz),Regular Price,"",Uncategorized,707,"$2,651.25",0,$0.00,$0.00,"$2,651.25",$177.56
Queen Anne's Lace (20oz),Regular Price,"",Uncategorized,233,$927.34,0,$0.00,$0.00,$927.34,$62.86
RX Bar,Regular,"",Uncategorized,2,$6.00,0,$0.00,$0.00,$6.00,$0.40
San Pell Orange,Regular Price,"",Uncategorized,229,$428.23,0,$0.00,$-10.09,$418.14,$28.77
Special One,Regular Price,"",Uncategorized,981,"$2,756.61",-2,$-5.62,$-0.84,"$2,750.15",$185.95
"T-Shirt, Long Sleeve",Regular,"",Uncategorized,4,$67.96,0,$0.00,$0.00,$67.96,$4.59
"T-shirt, Short sleeve",Regular Price,"",Uncategorized,49,$636.51,0,$0.00,$-9.10,$627.41,$42.47
T-shirts,Regular Price,"",Uncategorized,48,$623.52,0,$0.00,$-3.90,$619.62,$41.90
Water Bottle,Regular Price,"",Uncategorized,197,$246.25,-1,$-1.25,$0.00,$245.00,$16.60
Lotus/Biscuit,Regular Price,"",Food,4791,"$10,109.01",-34,$-71.74,$-13.67,"$10,023.60",$668.59
Salad/sandwich ,Regular Price,"",Food,164,"$1,139.80",-1,$-6.95,$-2.09,"$1,130.76",$76.43
Smoothie (16oz.),Regular Price,"",Food,4355,"$17,332.90",-47,$-187.06,$-16.97,"$17,128.87","$1,161.57"
Truffle,Regular Price,"",Food,308,$462.00,-1,$-1.50,$-3.15,$457.35,$30.62
