Item Name,Item Variation,SKU,Category,Items Sold,Gross Sales,Items Refunded,Refunds,Discounts & Comps,Net Sales,Tax
Custom Amount,No description,"",Uncategorized,2381,"$24,010.22",-32,$-280.23,$-39.04,"$23,690.95",$510.25
16.9 Oz San Pellegrino,Regular Price,"",Uncategorized,97,$291.00,0,$0.00,$-9.00,$282.00,$18.86
2 Doughnut Holes,Regular Price,"",Uncategorized,2479,$619.75,-7,$-1.75,$-0.21,$617.79,$43.95
Add Espresso Shot,Regular Price,"",Uncategorized,10047,"$5,626.32",-35,$-19.60,$-11.44,"$5,595.28",$394.48
Add Soy/Almond,Regular Price,"",Uncategorized,3921,"$2,195.76",-21,$-11.76,$-1.53,"$2,182.47",$155.31
Add Soy/Almond/Breve,Regular Price,"",Uncategorized,1804,"$1,010.24",-12,$-6.72,$-3.40,"$1,000.12",$71.25
Addict's Cake Slice,Regular,"",Uncategorized,2,$8.00,0,$0.00,$0.00,$8.00,$0.54
Americano (double),Regular Price,"",Uncategorized,6718,"$14,174.98",-12,$-25.32,$-51.57,"$14,098.09",$939.06
Apple Cider,Regular Price,"",Uncategorized,91,$180.97,0,$0.00,$-2.40,$178.57,$0.00
Bee Balm (12oz),Regular Price,"",Uncategorized,296,"$1,038.96",-1,$-3.51,$-1.05,"$1,034.40",$70.15
Bee Balm (16oz),Regular Price,"",Uncategorized,639,"$2,396.25",0,$0.00,$-4.49,"$2,391.76",$160.38
Bee Balm (20oz),Regular Price,"",Uncategorized,169,$672.62,0,$0.00,$0.00,$672.62,$45.61
Beer Fancy,Regular Price,"",Uncategorized,19,$95.00,0,$0.00,$-1.50,$93.50,$6.36
Beer Sale,Regular Price,"",Uncategorized,42,$126.00,0,$0.00,$-2.70,$123.30,$8.28
Beer Standard,Regular Price,"",Uncategorized,298,"$1,192.00",-1,$-4.00,$-2.40,"$1,185.60",$80.03
Boone Community,Regular Price,"",Uncategorized,6,$24.00,0,$0.00,$0.00,$24.00,$0.00
