Date,Single,Dozen,HalfDozen
6/25/2013,$78.72 ,$14.75 ,$0.00 
6/26/2013,$165.64 ,$0.00 ,$16.40 
6/27/2013,$154.16 ,$59.00 ,$0.00 
6/28/2013,$95.12 ,$44.25 ,$0.00 
6/29/2013,$164.00 ,$73.75 ,$0.00 
6/30/2013,$0.00 ,$0.00 ,$0.00 
7/1/2013,$127.92 ,$14.75 ,$0.00 
7/2/2013,$127.92 ,$73.75 ,$16.40 
7/3/2013,$198.44 ,$29.50 ,$8.20 
7/4/2013,$145.96 ,$88.50 ,$24.60 
7/5/2013,$242.72 ,$103.25 ,$8.20 
7/6/2013,$213.20 ,$132.75 ,$24.60 
7/7/2013,$0.00 ,$0.00 ,$0.00 
7/8/2013,$113.16 ,$44.25 ,$24.60 
7/9/2013,$116.44 ,$73.75 ,$24.60 
7/10/2013,$119.72 ,$29.50 ,$24.60 
7/11/2013,$132.84 ,$88.50 ,$16.40 
7/12/2013,$178.76 ,$88.50 ,$16.40 
7/13/2013,$237.80 ,$73.75 ,$65.60 
7/14/2013,$0.00 ,$0.00 ,$0.00 
7/15/2013,$129.56 ,$29.50 ,$24.60 
7/16/2013,$98.40 ,$44.25 ,$8.20 
7/17/2013,$182.04 ,$44.25 ,$16.40 
7/18/2013,$150.88 ,$59.00 ,$32.80 
7/19/2013,$137.76 ,$44.25 ,$8.20 
7/20/2013,$168.92 ,$88.50 ,$73.80 
7/21/2013,$0.00 ,$0.00 ,$0.00 
7/22/2013,$165.64 ,$0.00 ,$8.20 
7/23/2013,$150.88 ,$14.75 ,$32.80 
7/24/2013,$136.12 ,$59.00 ,$16.40 
7/25/2013,$234.52 ,$59.00 ,$8.20 
7/26/2013,$141.04 ,$73.75 ,$0.00 
7/27/2013,$218.12 ,$73.75 ,$24.60 
7/28/2013,$0.00 ,$0.00 ,$0.00 
7/29/2013,$152.52 ,$44.25 ,$0.00 
7/30/2013,$129.56 ,$29.50 ,$8.20 
7/31/2013,$193.52 ,$29.50 ,$24.60 
8/1/2013,$147.60 ,$44.25 ,$8.20 
8/2/2013,$175.48 ,$73.75 ,$16.40 
8/3/2013,$200.08 ,$59.00 ,$24.60 
8/4/2013,$0.00 ,$0.00 ,$0.00 
8/5/2013,$142.68 ,$44.25 ,$0.00 
8/6/2013,$126.28 ,$14.75 ,$8.20 
8/7/2013,$155.80 ,$44.25 ,$0.00 
8/8/2013,$126.28 ,$44.25 ,$0.00 
8/9/2013,$132.84 ,$29.50 ,$8.20 
8/10/2013,$173.84 ,$73.75 ,$73.80 
8/11/2013,$0.00 ,$0.00 ,$0.00 
8/12/2013,$175.48 ,$73.75 ,$32.80 
8/13/2013,$126.28 ,$0.00 ,$24.60 
8/14/2013,$144.32 ,$14.75 ,$8.20 
8/15/2013,$0.00 ,$0.00 ,$0.00 
8/16/2013,$185.32 ,$59.00 ,$49.20 
8/17/2013,$223.04 ,$73.75 ,$73.80 
8/18/2013,$0.00 ,$0.00 ,$0.00 
8/19/2013,$119.72 ,$59.00 ,$8.20 
8/20/2013,$83.64 ,$14.75 ,$24.60 
8/21/2013,$103.32 ,$59.00 ,$24.60 
8/22/2013,$98.40 ,$29.50 ,$16.40 
8/23/2013,$157.44 ,$14.75 ,$8.20 
8/24/2013,$219.76 ,$59.00 ,$41.00 
8/25/2013,$0.00 ,$0.00 ,$0.00 
8/26/2013,$132.84 ,$29.50 ,$16.40 
8/27/2013,$131.20 ,$29.50 ,$16.40 
8/28/2013,$139.40 ,$59.00 ,$0.00 
8/29/2013,$136.12 ,$44.25 ,$32.80 
8/30/2013,$150.88 ,$88.50 ,$32.80 
8/31/2013,$209.92 ,$59.00 ,$32.80 
9/1/2013,$0.00 ,$0.00 ,$0.00 
9/2/2013,$183.68 ,$103.25 ,$16.40 
9/3/2013,$0.00 ,$0.00 ,$0.00 
9/4/2013,$0.00 ,$0.00 ,$0.00 
9/5/2013,$139.40 ,$59.00 ,$57.40 
9/6/2013,$182.04 ,$118.00 ,$16.40 
9/7/2013,$162.36 ,$44.25 ,$24.60 
9/8/2013,$0.00 ,$0.00 ,$0.00 
9/9/2013,$124.64 ,$14.75 ,$16.40 
9/10/2013,$96.76 ,$44.25 ,$24.60 
9/11/2013,$165.64 ,$59.00 ,$8.20 
9/12/2013,$121.36 ,$88.50 ,$16.40 
9/13/2013,$126.28 ,$59.00 ,$41.00 
9/14/2013,$214.84 ,$88.50 ,$8.20 
9/15/2013,$0.00 ,$0.00 ,$0.00 
9/16/2013,$119.72 ,$44.25 ,$8.20 
9/17/2013,$124.64 ,$44.25 ,$8.20 
9/18/2013,$126.28 ,$59.00 ,$8.20 
9/19/2013,$100.04 ,$132.75 ,$0.00 
9/20/2013,$149.24 ,$73.75 ,$24.60 
9/21/2013,$319.80 ,$103.25 ,$98.40 
9/22/2013,$0.00 ,$0.00 ,$0.00 
9/23/2013,$132.84 ,$29.50 ,$16.40 
9/24/2013,$91.84 ,$59.00 ,$24.60 
9/25/2013,$175.48 ,$29.50 ,$0.00 
9/26/2013,$175.48 ,$29.50 ,$16.40 
9/27/2013,$126.28 ,$44.25 ,$24.60 
9/28/2013,$242.72 ,$73.75 ,$41.00 
9/29/2013,$0.00 ,$0.00 ,$0.00 
9/30/2013,$111.52 ,$29.50 ,$24.60 
10/1/2013,$142.68 ,$29.50 ,$8.20 
10/2/2013,$131.20 ,$14.75 ,$0.00 
10/3/2013,$157.44 ,$44.25 ,$24.60 
10/4/2013,$152.52 ,$44.25 ,$16.40 
10/5/2013,$246.00 ,$103.25 ,$32.80 
10/6/2013,$0.00 ,$0.00 ,$0.00 
10/7/2013,$167.28 ,$44.25 ,$32.80 
10/8/2013,$123.00 ,$44.25 ,$24.60 
10/9/2013,$182.04 ,$0.00 ,$16.40 
10/10/2013,$145.96 ,$14.75 ,$24.60 
10/11/2013,$182.04 ,$88.50 ,$24.60 
10/12/2013,$290.28 ,$88.50 ,$41.00 
10/13/2013,$0.00 ,$0.00 ,$0.00 
10/14/2013,$190.24 ,$73.75 ,$16.40 
10/15/2013,$172.20 ,$59.00 ,$16.40 
10/16/2013,$180.40 ,$14.75 ,$16.40 
10/17/2013,$127.92 ,$0.00 ,$16.40 
10/18/2013,$205.00 ,$44.25 ,$16.40 
10/19/2013,$205.00 ,$118.00 ,$41.00 
10/20/2013,$0.00 ,$0.00 ,$0.00 
10/21/2013,$131.20 ,$44.25 ,$32.80 
10/22/2013,$139.40 ,$44.25 ,$24.60 
10/23/2013,$141.04 ,$73.75 ,$32.80 
10/24/2013,$136.12 ,$0.00 ,$24.60 
10/25/2013,$214.84 ,$59.00 ,$49.20 
10/26/2013,$175.48 ,$118.00 ,$49.20 
10/27/2013,$0.00 ,$0.00 ,$0.00 
10/28/2013,$139.40 ,$59.00 ,$32.80 
10/29/2013,$132.84 ,$0.00 ,$0.00 
10/30/2013,$98.40 ,$29.50 ,$16.40 
10/31/2013,$139.40 ,$73.75 ,$16.40 
11/1/2013,$175.48 ,$73.75 ,$8.20 
11/2/2013,$242.72 ,$88.50 ,$41.00 
11/3/2013,$0.00 ,$0.00 ,$0.00 
11/4/2013,$154.16 ,$73.75 ,$8.20 
11/5/2013,$127.92 ,$88.50 ,$24.60 
11/6/2013,$136.12 ,$14.75 ,$24.60 
11/7/2013,$173.84 ,$44.25 ,$8.20 
11/8/2013,$195.16 ,$132.75 ,$32.80 
